"PVWatts Hourly PV Performance Data"
"Requested Location","yinchuan"
"Solar Resource Data Location","NSRDB Lat/Lng: 38.45, 106.26"
"Latitude (degrees)", 38.45
"Longitude (degrees)", 106.26
"Elevation (m)","1114"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","24","2","0","0","6.1","1.7","0.2","0","6.1","0","0"
"10","24","3","0","0","5.6","1.8","0.2","0","5.6","0","0"
"10","24","4","0","0","5.2","1.8","0.2","0","5.2","0","0"
"10","24","5","0","0","4.9","1.8","0.2","0","4.9","0","0"
"10","24","6","0","0","4.9","1.9","0.2","0","4.9","0","0"
"10","24","7","26","19","4.9","1.9","0.2","24.045","5.45","15.294","10.789"
"10","24","8","402","87","10.2","2.7","0.2","249.947","15.504","213.737","202.2"
"10","24","9","617","120","14.2","3.2","0.2","493.304","23.91","429.788","410.595"
"10","24","10","729","137","18.1","3.3","0.2","694.009","31.509","583.208","558.579"
"10","24","11","835","125","21.2","3.6","0.2","841.999","36.701","689.291","660.903"
"10","24","12","856","125","22.8","3.8","0.2","895.825","38.793","725.196","695.536"
"10","24","13","856","120","23.4","3.8","0.2","871.029","38.956","705.87","676.895"
"10","24","14","814","116","23.5","3.7","0.2","760.84","37.311","624.264","598.181"
"10","24","15","742","102","23","3.5","0.2","586.537","34.003","491.594","470.211"
"10","24","16","592","80","20.7","2.4","0.2","354.37","28.691","297.111","282.619"
"10","24","17","256","40","16.9","1.5","0.2","105.017","19.613","74.247","67.652"
"10","24","18","0","0","14.5","1.5","0.2","0","0","0","0"
"10","24","19","0","0","13.8","1.5","0.2","0","13.8","0","0"
"10","24","20","0","0","13.5","1.4","0.2","0","13.5","0","0"
"10","24","21","0","0","13.2","1.3","0.2","0","13.2","0","0"
"10","24","22","0","0","12.8","1.2","0.2","0","12.8","0","0"
"10","24","23","0","0","11.9","1.2","0.2","0","11.9","0","0"
"10","25","0","0","0","10.8","1.4","0.2","0","10.8","0","0"
"10","25","1","0","0","9.6","1.5","0.2","0","9.6","0","0"
"10","25","2","0","0","8.5","1.6","0.2","0","8.5","0","0"
"10","25","3","0","0","7.6","1.6","0.2","0","7.6","0","0"
"10","25","4","0","0","6.9","1.6","0.2","0","6.9","0","0"
"10","25","5","0","0","6.7","1.6","0.2","0","6.7","0","0"
"10","25","6","0","0","6.6","1.5","0.2","0","6.6","0","0"
"10","25","7","73","19","6.6","1.5","0.2","33.651","7.42","20.288","15.605"
"10","25","8","508","70","11.6","1.6","0.2","271.67","18.752","228.886","216.812"
"10","25","9","705","95","15.7","1.9","0.2","515.845","28.587","442.569","422.923"
"10","25","10","797","110","19.4","1.8","0.2","711.856","37.513","585.224","560.524"
"10","25","11","833","121","22.1","1.7","0.2","833.789","43.736","663.96","636.47"
"10","25","12","847","126","23.3","1.5","0.2","886.632","47.328","693.637","665.095"
"10","25","13","837","125","23.8","1.3","0.2","857.834","48.152","669.87","642.17"
"10","25","14","821","109","23.8","1.2","0.2","756.206","45.817","599.875","574.655"
"10","25","15","745","97","23.2","1","0.2","580.755","41.009","473.512","452.77"
"10","25","16","593","76","21.5","0.7","0.2","349.032","33.042","287.222","273.081"
"10","25","17","244","38","19","0.5","0.2","99.865","22.321","69.116","62.703"
"10","25","18","0","0","16.9","0.8","0.2","0","0","0","0"
"10","25","19","0","0","15.5","1","0.2","0","15.5","0","0"
"10","25","20","0","0","14","1.2","0.2","0","14","0","0"
"10","25","21","0","0","12.3","1.4","0.2","0","12.3","0","0"
"10","25","22","0","0","10.7","1.4","0.2","0","10.7","0","0"
"10","25","23","0","0","9.4","1.5","0.2","0","9.4","0","0"
"10","26","0","0","0","8.3","1.5","0.2","0","8.3","0","0"
"10","26","1","0","0","7.3","1.5","0.2","0","7.3","0","0"
"10","26","2","0","0","6.4","1.4","0.2","0","6.4","0","0"
"10","26","3","0","0","5.6","1.4","0.2","0","5.6","0","0"
"10","26","4","0","0","4.9","1.4","0.2","0","4.9","0","0"
"10","26","5","0","0","4.2","1.5","0.2","0","4.2","0","0"
"10","26","6","0","0","3.7","1.6","0.2","0","3.7","0","0"
"10","26","7","54","17","3.6","1.6","0.2","27.67","4.263","17.056","12.488"
"10","26","8","469","72","7.6","3.3","0.2","258.357","12.549","222.494","210.646"
"10","26","9","676","98","10.9","3.6","0.2","501.186","20.167","443.787","424.098"
"10","26","10","782","109","14.5","3.7","0.2","698.003","27.18","597.489","572.354"
"10","26","11","834","115","17.7","3.8","0.2","825.838","32.456","688.096","659.751"
"10","26","12","849","119","20.2","3.7","0.2","878.273","36.119","719.255","689.806"
"10","26","13","838","118","21.5","3.6","0.2","848.587","37.121","693.333","664.802"
"10","26","14","146","366","22","3.5","0.2","504.911","31.411","416.663","397.935"
"10","26","15","702","104","21.8","3.5","0.2","559.792","32.303","472.323","451.623"
"10","26","16","549","80","19.8","2.7","0.2","332.611","26.898","279.934","266.051"
"10","26","17","216","35","15.9","2","0.2","90.298","17.987","63.008","56.812"
"10","26","18","0","0","13.1","2.3","0.2","0","0","0","0"
"10","26","19","0","0","11.9","2.7","0.2","0","11.9","0","0"
"10","26","20","0","0","10.8","2.9","0.2","0","10.8","0","0"
"10","26","21","0","0","10.1","3.1","0.2","0","10.1","0","0"
"10","26","22","0","0","9.8","3.3","0.2","0","9.8","0","0"
"10","26","23","0","0","9.4","3.3","0.2","0","9.4","0","0"
"10","27","0","0","0","8.6","2.7","0.2","0","8.6","0","0"
"10","27","1","0","0","7.4","2.1","0.2","0","7.4","0","0"
"10","27","2","0","0","6.6","1.8","0.2","0","6.6","0","0"
"10","27","3","0","0","6.1","1.7","0.2","0","6.1","0","0"
"10","27","4","0","0","5.9","1.6","0.2","0","5.9","0","0"
"10","27","5","0","0","5.8","1.6","0.2","0","5.8","0","0"
"10","27","6","0","0","5.6","1.6","0.2","0","5.6","0","0"
"10","27","7","36","13","5.5","1.6","0.2","20.269","5.988","12.376","7.974"
"10","27","8","289","94","9.3","3.8","0.2","210.517","13.039","180.928","170.554"
"10","27","9","429","159","11.9","4.8","0.2","422.85","18.498","374.09","356.871"
"10","27","10","500","206","14.5","5.3","0.2","594.763","23.195","514.028","491.85"
"10","27","11","490","256","16.5","5.6","0.2","694.193","26.273","588.978","564.144"
"10","27","12","515","263","17.7","5.8","0.2","745.091","27.944","626.785","600.612"
"10","27","13","36","359","18.3","6.1","0.2","393.897","23.518","330.755","315.072"
"10","27","14","29","140","18","6.4","0.2","160.246","20.058","133.911","125.203"
"10","27","15","26","95","17","6.5","0.2","108.512","18.383","90.909","83.724"
"10","27","16","16","53","15.8","5.9","0.2","57.596","16.585","47.575","41.925"
"10","27","17","0","13","14.2","4.3","0.2","12.062","14.397","8.71","4.438"
"10","27","18","0","0","12.4","3.1","0.2","0","0","0","0"
"10","27","19","0","0","11.3","3.1","0.2","0","11.3","0","0"
"10","27","20","0","0","10.6","3.3","0.2","0","10.6","0","0"
"10","27","21","0","0","10","3.3","0.2","0","10","0","0"
"10","27","22","0","0","9.7","3.5","0.2","0","9.7","0","0"
"10","27","23","0","0","9.7","3.7","0.2","0","9.7","0","0"
"10","28","0","0","0","9.5","3.6","0.2","0","9.5","0","0"
"10","28","1","0","0","9.1","3.4","0.2","0","9.1","0","0"
"10","28","2","0","0","8.5","3","0.2","0","8.5","0","0"
"10","28","3","0","0","8","3","0.2","0","8","0","0"
"10","28","4","0","0","7.7","3.3","0.2","0","7.7","0","0"
"10","28","5","0","0","7.8","3.3","0.2","0","7.8","0","0"
"10","28","6","0","0","7.7","3","0.2","0","7.7","0","0"
